"elementName", "elementContent", "typeAttributeIfPresent"
"date", " of August", ""
"date", " of Feb.", ""
"date", " of March", ""
"date", " of May 1739", ""
"date", "11th June", ""
"date", "14th May", ""
"date", "1744", ""
"date", "1747", ""
"date", "1760", ""
"date", "18", ""
"date", "1st of May", ""
"date", "20th of July", ""
"date", "21st of March", ""
"date", "24", ""
"date", "25", ""
"date", "8", ""
"date", "April", ""
"date", "April", ""
"date", "Jan.", ""
"date", "th", ""
"date", "th", ""
"date", "th", ""
"date", "th", ""
"persName", "A. Mary Anton", ""
"placeName", " Hhuth", ""
"placeName", "Berlin", ""
"placeName", "Bertholdsdorf", ""
"placeName", "Ebersdorf", ""
"placeName", "Herrnhuth", ""
"placeName", "Hhaag", ""
"placeName", "Hhuth", ""
"placeName", "Hhuth", ""
"placeName", "Hhuth", ""
"placeName", "Holstein", ""
"placeName", "Pilgerruh", ""
