"elementName", "elementContent", "typeAttributeIfPresent"
"date", " of June 1737", ""
"date", " of this Months", ""
"date", "1743", ""
"date", "1746", ""
"date", "1758", ""
"date", "1759", ""
"date", "29", ""
"date", "49", ""
"date", "52", ""
"date", "57", ""
"date", "61", ""
"date", "9", ""
"date", "th", ""
"date", "th", ""
"persName", "Mary Elisab.th Baker", ""
"placeName", "Berlin", ""
"placeName", "Berlin", ""
"placeName", "Choir House", ""
"placeName", "Hhuth", ""
"placeName", "Newsalz", ""
"placeName", "Newsalz", ""
