"elementName", "elementContent", "typeAttributeIfPresent"
"date", "1705 September den 14", ""
"date", "2 Januar Anno 27", ""
"date", "28 December", ""
"date", "Christtag ", ""
"date", "Festtage ", ""
"date", "Neue Jahr", ""
"date", "Ostern ", ""
"date", "Ostern ", ""
"date", "den 14", ""
"orgName", "Mährischen Brüder", ""
"orgName", "Versamlung ", ""
"orgName", "Versammlungen", ""
"orgName", "heiligen AbendMahl", ""
"persName", "Anna Johanna", ""
"persName", "Bruder Georg Pisch", ""
"persName", "Bruder Pisch", ""
"persName", "Bruders", ""
"persName", "Dobias Hauer", ""
"persName", "Friedrichin", ""
"persName", "Herr Pastor Rothe", ""
"persName", "Herr SteinMez", ""
"persName", "Mann ", ""
"persName", "Melgor Nischman", ""
"persName", "Mut- ter", ""
"persName", "Mutter ", ""
"persName", "Mutter Waschkin", ""
"persName", "Sohn", ""
"persName", "Vater ", ""
"persName", "Vaters", ""
"persName", "der gute hirtte", ""
"placeName", "", ""
"placeName", "Berthelsdorff ", ""
"placeName", "Conne Walte", ""
"placeName", "Herrnhut", ""
"placeName", "Herrnhut ", ""
"placeName", "Herrnhut ", ""
"placeName", "Herrnhut ", ""
"placeName", "Kößnitz ", ""
"placeName", "Mähren", ""
"placeName", "Mähren", ""
"placeName", "Mähren ", ""
"placeName", "Schlössig ", ""
"placeName", "Schlössig ", ""
"placeName", "Vater Land", ""
