"elementName", "elementContent", "typeAttributeIfPresent"
"date", " 1785", ""
"date", " 4", ""
"date", " 14", ""
"date", " 1779", ""
"date", " 1780", ""
"date", " 1791", ""
"date", " 1794", ""
"date", " 27th 1790", ""
"date", " 29 1790", ""
"date", "11", ""
"date", "1759", ""
"date", "31", ""
"date", "April 4", ""
"date", "August 22", ""
"date", "August 31st 1792", ""
"date", "Dec.", ""
"date", "Dec.", ""
"date", "December 2", ""
"date", "Jan 15", ""
"date", "January 6th", ""
"date", "March 5", ""
"date", "May 24th 1792", ""
"date", "Oct.", ""
"date", "October 3d 1758", ""
"date", "Sep.", ""
"date", "d", ""
"date", "d", ""
"date", "r", ""
"date", "r", ""
"date", "r", ""
"date", "r", ""
"date", "st", ""
"date", "th", ""
"date", "th", ""
"date", "th", ""
"date", "th", ""
"date", "th", ""
"date", "th", ""
"orgName", " House", ""
"orgName", " House at ", ""
"orgName", " Oecon at ", ""
"orgName", "London", ""
"orgName", "S", ""
"orgName", "S", ""
"orgName", "S", ""
"orgName", "Wyke", ""
"orgName", "rs", ""
"orgName", "rs", ""
"orgName", "rs", ""
"persName", " Gibb", ""
"persName", " LasTrobes", ""
"persName", "Anna Turos", ""
"persName", "B.", ""
"persName", "B.", ""
"persName", "Sarah", ""
"persName", "Sarah Verney", ""
"persName", "Sr Gibbs", ""
"persName", "Thomas Verney", ""
"persName", "Traneker", ""
"persName", "r", ""
"persName", "r", ""
"placeName", "Cheshunt Hertfordshire", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "Waltham Cross", ""
"placeName", "Wyke", ""
"placeName", "Wyke", ""
"placeName", "Wyke", ""
"placeName", "Wyke", ""
"placeName", "Wyke", ""
