"elementName", "elementContent", "typeAttributeIfPresent"
"date", "13th of November", ""
"date", "1741", ""
"date", "1741", ""
"date", "1743", ""
"date", "1744", ""
"date", "1747", ""
"date", "1748", ""
"date", "1755", ""
"date", "1762", ""
"date", "1764", ""
"date", "1765", ""
"date", "1772", ""
"date", "1772", ""
"date", "1780", ""
"date", "24th of June", ""
"date", "4th of July", ""
"date", "4th of may", ""
"date", "9th of Aug 1727", ""
"date", "February 15th 1803", ""
"date", "February the 10th", ""
"date", "June", ""
"date", "May the 1st 1802", ""
"date", "Sept the 20th", ""
"orgName", "Synod", ""
"orgName", "Synod", ""
"orgName", "the Brethren", ""
"orgName", "the Brethren", ""
"orgName", "the Choir", ""
"orgName", "the Cong", ""
"orgName", "the Cong.", ""
"orgName", "the Great Girls Choir", ""
"orgName", "the Single Sisters Choir", ""
"persName", " our Savior", ""
"persName", "Anna Rosina Anderson", ""
"persName", "Anne Joh. Piesch", ""
"persName", "Jesus", ""
"persName", "Mr and Mrs Boehler", ""
"persName", "Nathanael Seidel", ""
"persName", "Our savior", ""
"persName", "Susanna de Gersdorf", ""
"persName", "late Count", ""
"persName", "late Count", ""
"persName", "late Count Zinzendorf", ""
"persName", "my savior's", ""
"persName", "our Savior", ""
"persName", "our Savior", ""
"persName", "our Savior", ""
"persName", "our Savior", ""
"persName", "our dear Lord", ""
"persName", "our good Lord", ""
"persName", "our savior", ""
"persName", "savior", ""
"persName", "the Lord", ""
"persName", "the Lord", ""
"persName", "the Lord", ""
"persName", "the Lord", ""
"persName", "the late Count", ""
"persName", "the lord", ""
"placeName", " America", ""
"placeName", " Herrnhut", ""
"placeName", "America", ""
"placeName", "Bedford", ""
"placeName", "Berthelsdorf", ""
"placeName", "Berthelsdorf", ""
"placeName", "Bethlehem", ""
"placeName", "Bethlehem", ""
"placeName", "Bethlehem", ""
"placeName", "Bethlehem", ""
"placeName", "Bethlehem", ""
"placeName", "Bethlehem", ""
"placeName", "Ebbersdorf", ""
"placeName", "England", ""
"placeName", "Europe", ""
"placeName", "Europe", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Gummersall", ""
"placeName", "Herrnhaag", ""
"placeName", "Herrnhaag", ""
"placeName", "Herrnhut", ""
"placeName", "Herrnhut", ""
"placeName", "Littlemore", ""
"placeName", "Lobenstein", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "Marienborn", ""
"placeName", "Marienborn", ""
"placeName", "Mirfield", ""
"placeName", "Nazareth", ""
"placeName", "Yorkshire", ""
"placeName", "the settlement of the Brethren at the Mahony", ""
