"elementName", "elementContent", "typeAttributeIfPresent"
"date", "1764", ""
"date", "1774", ""
"date", "1776", ""
"date", "1786", ""
"date", "17th of Aug. 1767", ""
"date", "26th", ""
"date", "4th of May", ""
"date", "January 7th 1792", ""
"date", "July 2d 1769", ""
"date", "June 12th 1764", ""
"date", "June 5th 1790", ""
"date", "March 17th 1770", ""
"date", "March 20th 1771", ""
"date", "March 25th 1769", ""
"date", "November 1772", ""
"date", "October 22d 1756", ""
"orgName", "Brethren's Society", ""
"persName", "Benigna von Watteville", ""
"persName", "Bruiningk", ""
"persName", "Johannah Eleonora Benade", ""
"persName", "Louise von Hayer", ""
"persName", "Rose", ""
"placeName", "Barby", ""
"placeName", "Eubau (Iboro)", ""
"placeName", "Gnadau", ""
"placeName", "Gnadau", ""
"placeName", "Gnadau", ""
"placeName", "Gnadenfrey", ""
"placeName", "Herrnhut", ""
"placeName", "Herrnhut", ""
"placeName", "Herrnhut", ""
"placeName", "Herrnhut", ""
"placeName", "Labrador", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "Neusaly", ""
"placeName", "Upper Lusatia", ""
"placeName", "Whitesentide", ""
