"elementName", "elementContent", "typeAttributeIfPresent"
"date", "12", ""
"date", "16 of Sept.", ""
"date", "1789", ""
"date", "1803", ""
"date", "1804", ""
"date", "1806", ""
"date", "2 ", ""
"date", "22", ""
"date", "24", ""
"date", "30", ""
"date", "April", ""
"date", "August 5 1833", ""
"date", "Christmas 1794", ""
"date", "Dec 24 1785", ""
"date", "Dec 5", ""
"date", "Dec. 10 1816", ""
"date", "Dec. 15", ""
"date", "Febr 16 1780", ""
"date", "Jany 1 1798", ""
"date", "July 2", ""
"date", "July 9", ""
"date", "June 2 1778", ""
"date", "March 30 1801", ""
"date", "March 8 1847", ""
"date", "May 18 1768", ""
"date", "May 4 1786", ""
"date", "May 5", ""
"date", "Monday the 8", ""
"date", "Nov. 1789", ""
"date", "Nov. 1845", ""
"date", "Oct 10 1782", ""
"date", "Oct 3 1811", ""
"date", "Oct. 1802", ""
"date", "October 3", ""
"date", "Sept", ""
"date", "Sept 3", ""
"date", "Sept. 26 1816", ""
"persName", " Bates", ""
"persName", "Br. Edwards", ""
"persName", "Br. and Sr. Moore", ""
"persName", "C. Wesley", ""
"persName", "Karen Borg", ""
"persName", "Mr", ""
"persName", "Sr. Connor ", ""
"persName", "s", ""
"placeName", "Christansfeld", ""
"placeName", "Christiansfeld", ""
"placeName", "Christiansfeld", ""
"placeName", "Ebersdorf", ""
"placeName", "Ebersdorf", ""
"placeName", "Ebersdorf", ""
"placeName", "Ebersdorf", ""
"placeName", "Fulnec", ""
"placeName", "Fulnec", ""
"placeName", "Fulnec", ""
"placeName", "Fulnec", ""
"placeName", "Fulnec", ""
"placeName", "Gracehill", ""
"placeName", "Gracehill", ""
"placeName", "Gracehill", ""
"placeName", "Gracehill", ""
"placeName", "Herrnhut", ""
"placeName", "Israel", ""
"placeName", "Norway", ""
