"elementName", "elementContent", "typeAttributeIfPresent"
"date", " The 21st", ""
"date", "1748 the 9 of May", ""
"date", "1757", ""
"date", "17th of December 1707", ""
"date", "22nd of March", ""
"date", "Anno 1740 the 19th february", ""
"date", "June", ""
"date", "the 25th", ""
"date", "the 13th", ""
"date", "the 16th of March", ""
"date", "the 22nd of September a.c.", ""
"date", "the 25th", ""
"orgName", "Quaker Religion", ""
"orgName", "Society", ""
"persName", " Christ", ""
"persName", "Benigna", ""
"persName", "Br.", ""
"persName", "Br. Lennicks", ""
"persName", "Br. Briand", ""
"persName", "Br. Lennick", ""
"persName", "Br. Lennick", ""
"persName", "Br. Lennick", ""
"persName", "Br. Lennick", ""
"persName", "Br. Lennick", ""
"persName", "Br. Lennick", ""
"persName", "Br. Rogers", ""
"persName", "Br. Schlicht", ""
"persName", "Br.Briand", ""
"persName", "Breidegroom of her Soul", ""
"persName", "Christ", ""
"persName", "Her Husband", ""
"persName", "Husband", ""
"persName", "Husband", ""
"persName", "Mr. Miller", ""
"persName", "Mr. & Sister Nilshman", ""
"persName", "Mr. Chapmann's Vicar", ""
"persName", "Mr. Johanes", ""
"persName", "Mr. Miller", ""
"persName", "Mr. Miller", ""
"persName", "Our Saviour", ""
"persName", "Our Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviours", ""
"persName", "Sister", ""
"persName", "Sister", ""
"persName", "Sister", ""
"persName", "Sister Benigna Briand", ""
"persName", "Wife", ""
"persName", "Wife", ""
"persName", "bloody Bride groom", ""
"persName", "he", ""
"persName", "her Husband", ""
"persName", "him", ""
"persName", "him", ""
"persName", "his", ""
"persName", "our Lord", ""
"persName", "our Saviour", ""
"persName", "our Saviour", ""
"persName", "the holy Ghost", ""
"persName", "them", ""
"placeName", "Bath", ""
"placeName", "Bath", ""
"placeName", "Bristol", ""
"placeName", "Bristol", ""
"placeName", "Bristol", ""
"placeName", "Bristol", ""
"placeName", "Buttermere", ""
"placeName", "Hill of our Saviour", ""
"placeName", "London", ""
"placeName", "Lyneham", ""
"placeName", "Place", ""
"placeName", "Wiltshire", ""
"placeName", "Wiltshire", ""
"placeName", "the Church at Bath", ""
