"elementName", "elementContent", "typeAttributeIfPresent"
"date", "1760", ""
"date", "1766", ""
"date", "1778", ""
"date", "1804", ""
"date", "August 1756", ""
"date", "February 6. 1717", ""
"date", "January 1758", ""
"date", "June 9", ""
"date", "March.28.1806", ""
"date", "May 15. 1799", ""
"date", "May 1780", ""
"date", "May the 9th 1799", ""
"date", "October 1787", ""
"orgName", "Brethren Society", ""
"orgName", "Brethren church", ""
"orgName", "Brethren church", ""
"orgName", "Brethren church", ""
"orgName", "Christian", ""
"orgName", "Congregation", ""
"orgName", "Presbyterian", ""
"orgName", "Presbyterian", ""
"orgName", "Presbyterians", ""
"orgName", "christian", ""
"orgName", "church of England", ""
"persName", "Abraham", ""
"persName", "Br. James Grundy", ""
"persName", "Elizabeth Grundy", ""
"persName", "Isaac", ""
"persName", "Jacob", ""
"persName", "Jesus", ""
"persName", "Revd. Mr. Valentine", ""
"persName", "Solomon", ""
"placeName", "Bayldon", ""
"placeName", "Bayldon", ""
"placeName", "Bayldon", ""
"placeName", "Bayldon", ""
"placeName", "Bayldon", ""
"placeName", "Bayldon", ""
"placeName", "Chowbent", ""
"placeName", "Duckenfield", ""
"placeName", "Dukenfield", ""
"placeName", "Dukenfield", ""
"placeName", "Dukenfield", ""
"placeName", "Dukenfield", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"placeName", "Huddersfield", ""
"placeName", "Lancashire", ""
"placeName", "Nayldon", ""
"placeName", "Yorkshire", ""
"placeName", "Yorkshire", ""
"roleName", "Believer", ""
"roleName", "Brother", ""
"roleName", "Christ", ""
"roleName", "God", ""
"roleName", "God", ""
"roleName", "God", ""
"roleName", "God", ""
"roleName", "God", ""
"roleName", "God", ""
"roleName", "God", ""
"roleName", "God's", ""
"roleName", "Jesus", ""
"roleName", "Jesus", ""
"roleName", "Jesus", ""
"roleName", "Jesus", ""
"roleName", "Jesus", ""
"roleName", "Jesus", ""
"roleName", "Jesus", ""
"roleName", "Lord", ""
"roleName", "Lord", ""
"roleName", "Lord Christ", ""
"roleName", "Lord of David", ""
"roleName", "Redeemer", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Son", ""
"roleName", "savior", ""
"roleName", "savior", ""
"roleName", "savior", ""
"roleName", "savior", ""
