"elementName", "elementContent", "typeAttributeIfPresent"
"date", " October 22nd", ""
"date", " November 27th", ""
"date", "1825", ""
"date", "1825", ""
"date", "1826", ""
"date", "28th of December", ""
"date", "April 17th", ""
"date", "August 17th", ""
"date", "August this year", ""
"date", "Feb. 1, 1829", ""
"date", "Feb. 6th, 1828", ""
"date", "Friday 15th Oct", ""
"date", "June", ""
"date", "June 16th 1829", ""
"date", "June 3rd", ""
"date", "June the 7th 1802", ""
"date", "March 2nd, 1825", ""
"date", "May 12th, 1824", ""
"date", "November", ""
"date", "November 28th", ""
"date", "Sep 20th", ""
"date", "Sep. 14th, 1826", ""
"date", "September 6th", ""
"date", "latter part of June", ""
"date", "the last day of the year", ""
"orgName", "Congregation", ""
"orgName", "Salvation", ""
"persName", " Borland", ""
"persName", " Borland", ""
"persName", " Christ", ""
"persName", " Doctor ", ""
"persName", "Adams", ""
"persName", "Advocate", ""
"persName", "All in All", ""
"persName", "Almighty Father", ""
"persName", "Angell", ""
"persName", "Borland", ""
"persName", "Borlands", ""
"persName", "Borlands mother", ""
"persName", "Brethren and Sister Borland", ""
"persName", "Brethren and Sisters", ""
"persName", "Brethren and Sisters", ""
"persName", "Brother", ""
"persName", "Brother", ""
"persName", "Brother James Latrobe", ""
"persName", "Brother Kleinsmith", ""
"persName", "Brother Ramftler", ""
"persName", "Christ", ""
"persName", "Christ", ""
"persName", "Christian", ""
"persName", "Christian", ""
"persName", "Christian", ""
"persName", "Creator", ""
"persName", "Deliverer", ""
"persName", "Director of the Schools", ""
"persName", "Doctor", ""
"persName", "Doctor's", ""
"persName", "Father", ""
"persName", "Father", ""
"persName", "Father", ""
"persName", "Father", ""
"persName", "Father", ""
"persName", "Father", ""
"persName", "Father", ""
"persName", "Friend", ""
"persName", "Friend", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God", ""
"persName", "God's", ""
"persName", "God's", ""
"persName", "Gods", ""
"persName", "Heav- enly Father", ""
"persName", "Heaven- ""ly Father", ""
"persName", "Heavenly Father", ""
"persName", "Heavenly Father", ""
"persName", "Him", ""
"persName", "Him", ""
"persName", "Him", ""
"persName", "Him", ""
"persName", "Him", ""
"persName", "Him", ""
"persName", "Him Father", ""
"persName", "His", ""
"persName", "His Righteousness", ""
"persName", "Holy Spirit", ""
"persName", "Holy Spirit", ""
"persName", "Holy Spirit", ""
"persName", "Holy Spirit", ""
"persName", "Holy Spirit", ""
"persName", "Holy Spirit", ""
"persName", "Husband", ""
"persName", "Jacob", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus Christ", ""
"persName", "Jesus Christ", ""
"persName", "Kelin ", ""
"persName", "King of Saints", ""
"persName", "Lamb of God", ""
"persName", "Lambs", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord", ""
"persName", "Lord Jesus", ""
"persName", "Lord Jesus", ""
"persName", "Lord Jesus", ""
"persName", "Lord's", ""
"persName", "Lord's", ""
"persName", "Lord's", ""
"persName", "Lord's", ""
"persName", "Lord's", ""
"persName", "Lord's", ""
"persName", "Lord's", ""
"persName", "Lords", ""
"persName", "Lords", ""
"persName", "Masters", ""
"persName", "Mediator", ""
"persName", "Mother", ""
"persName", "Mother", ""
"persName", "Mrs. Lattrobe", ""
"persName", "Preserver", ""
"persName", "Prophet", ""
"persName", "Relative", ""
"persName", "Relative", ""
"persName", "Satan", ""
"persName", "Savior", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"persName", "Saviour'", ""
"persName", "Saviour's", ""
"persName", "Saviour's", ""
"persName", "Shepherd", ""
"persName", "Sister Bird", ""
"persName", "Sister Borland", ""
"persName", "Sister Borland", ""
"persName", "Sister Borland", ""
"persName", "Sister Esther Latrobe", ""
"persName", "Sister West", ""
"persName", "Son", ""
"persName", "Son", ""
"persName", "Sr Borland", ""
"persName", "Thee", ""
"persName", "Thee", ""
"persName", "Thee", ""
"persName", "Thou", ""
"persName", "Thou", ""
"persName", "lord", ""
"persName", "sister Borland", ""
"persName", "sister Morton", ""
"placeName", "Ayr", ""
"placeName", "Ayr", ""
"placeName", "Bretherands Church", ""
"placeName", "Bristol", ""
"placeName", "Bristol", ""
"placeName", "Bristol", ""
"placeName", "Gracehill", ""
"placeName", "Gracehill", ""
"placeName", "Gracehill", ""
"placeName", "Ladies Boarding School", ""
"placeName", "Tyther ""-ton", ""
"placeName", "Tytherlon", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
