"elementName", "elementContent", "typeAttributeIfPresent"
"date", "11th of August", ""
"date", "11th of February 1811", ""
"date", "14th of August", ""
"date", "17th of January 1842 ", ""
"date", "1837", ""
"date", "23 of August", ""
"date", "29th of December", ""
"date", "4th of June 1838", ""
"date", "August the 17th ", ""
"date", "December", ""
"date", "The following May", ""
"date", "following December", ""
"date", "last January", ""
"date", "last 3 months", ""
"objectType", "bed", ""
"objectType", "pillow", ""
"objectType", "tea", ""
"orgName", "Brn's Church", ""
"orgName", "Church of England", ""
"orgName", "the Established Church", ""
"persName", "Charlotte", ""
"persName", "Harriett Lees", ""
"persName", "Mr. Lees", ""
"persName", "Mrs. C Lees", ""
"persName", "William", ""
"persName", "William Lees", ""
"placeName", "Chapel", ""
"placeName", "Chapel", ""
"placeName", "Chapel", ""
"placeName", "Church", ""
"placeName", "Jerusalem", ""
"placeName", "Leamington", ""
"placeName", "Leominster", ""
"placeName", "Leominster", ""
"placeName", "Leominster", ""
"placeName", "Northampton", ""
"placeName", "Woodford cum Membris", ""
"placeName", "church", ""
"placeName", "home", ""
"placeName", "home", ""
"placeName", "neighboring village", ""
"placeName", "the Chapel", ""
"placeName", "the Town", ""
