"elementName", "elementContent", "typeAttributeIfPresent"
"date", "1680", ""
"date", "1729", ""
"date", "1759", ""
"date", "1760", ""
"date", "26th of March", ""
"date", "29th of March", ""
"date", "Ao 44", ""
"date", "Year 1743", ""
"orgName", "Choir-House", ""
"orgName", "Church of Engelland", ""
"orgName", "Congregation", ""
"orgName", "Congregation", ""
"orgName", "Congregation in Fulneck", ""
"orgName", "Parish of Glossop", ""
"orgName", "People of God", ""
"persName", "Brethren Bohler", ""
"persName", "Brethren Okerthaussen", ""
"persName", "Joseph Lingard", ""
"persName", "Savior", ""
"persName", "Saviors", ""
"persName", "Saviour", ""
"persName", "Saviour", ""
"placeName", "Brassington", ""
"placeName", "County of Derby", ""
"placeName", "Dukenfield", ""
"placeName", "Dukenfield", ""
"placeName", "Dukenfield", ""
"placeName", "Dukenfield", ""
