"elementName", "elementContent", "typeAttributeIfPresent"
"date", "12th.", ""
"date", "13th of November", ""
"date", "1788.", ""
"date", "1789", ""
"date", "1790.", ""
"date", "1792.", ""
"date", "17th. of April", ""
"date", "1803.", ""
"date", "1805.", ""
"date", "1812.", ""
"date", "August", ""
"date", "December 12th. 1768.", ""
"date", "Easter 1792.", ""
"date", "Good- =Friday 1785.", ""
"date", "Good-Friday", ""
"date", "July 1791.", ""
"date", "July 19th. 1776.", ""
"date", "July 25th. 1784.", ""
"date", "November 12th. 1788.", ""
"date", "October", ""
"date", "October 11th. 1786.", ""
"date", "third of May", ""
"orgName", "Bre= =threns Church", ""
"orgName", "Brethrens Church", ""
"orgName", "Brethrens Church", ""
"orgName", "Brethrens Congregation", ""
"orgName", "Single Sisters Choir", ""
"orgName", "Single-Sisters Choir", ""
"persName", "Sarah Christiana Nichols", ""
"persName", "Thomas Moore", ""
"placeName", "Brinkworth", ""
"placeName", "Brinkworth in Wiltshire", ""
"placeName", "Fairfield", ""
"placeName", "Malmes- bury", ""
"placeName", "Ty= =therton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton", ""
"placeName", "Tytherton in Wiltshire", ""
