"elementName", "elementContent", "typeAttributeIfPresent"
"date", "11th April", ""
"date", "14th august at 9 o clock in the morning", ""
"date", "1756 till the year 1762.", ""
"date", "28th March in the year 1759", ""
"date", "29th December. on Evining", ""
"date", "In the year 1763 the 11th Nov. between a 11 and 12 o clock", ""
"date", "beginning of July", ""
"date", "beginning of augustto", ""
"date", "in the year 1756 the 18th of Novem.", ""
"date", "the 12th", ""
"date", "the 24th Dec", ""
"date", "year 62", ""
"persName", "Br [Powell]", ""
"persName", "Charles", ""
"persName", "Dear Savior", ""
"persName", "Dear Savior", ""
"persName", "Dear Savior", ""
"persName", "Dear Savior", ""
"persName", "Dear Savior", ""
"persName", "Dear Savior", ""
"persName", "Geschwister Leverings", ""
"persName", "Savior", ""
"persName", "Savior", ""
"persName", "Savior", ""
"persName", "Sister Anna Henrich", ""
"persName", "Sister Powell", ""
"persName", "Wife [Powell]", ""
"placeName", "Bethlehem", ""
"placeName", "Bogue", ""
"placeName", "Boque Mesopotamia", ""
"placeName", "Carmel", ""
"placeName", "Carmel", ""
"placeName", "Carmel", ""
"placeName", "Carmel", ""
"placeName", "Jamaica", ""
"placeName", "Kingston in Jamaica", ""
"placeName", "Mesopotamia", ""
"placeName", "Mesopotamia", ""
"placeName", "Mesopotamia", ""
