"elementName", "elementContent", "typeAttributeIfPresent"
"date", "11th of May", ""
"date", "2d of febr. 1746", ""
"date", "4th of May", ""
"date", "5th of May", ""
"date", "Aug. the 18th", ""
"date", "March 1749", ""
"date", "March 1751", ""
"date", "March 1751", ""
"date", "May 12, 1754", ""
"date", "May 1753", ""
"persName", " Br and Sr Foulers", ""
"persName", "Billy", ""
"persName", "Br. Petersen", ""
"persName", "Br. Petersen", ""
"persName", "Br. Planta", ""
"persName", "Lewis William", ""
"persName", "Lewis William", ""
"persName", "Lewis William Thorn", ""
"persName", "Mary Magdalen", ""
"persName", "Mr Lawman", ""
"placeName", "Buttermare", ""
"placeName", "Lambshill", ""
"placeName", "Leeds", ""
"placeName", "London", ""
"placeName", "Okbrook", ""
"placeName", "Smithouse", ""
"placeName", "Wales", ""
"placeName", "Yorkshire", ""
