"elementName", "elementContent", "typeAttributeIfPresent"
"date", "1711", ""
"date", "1736", ""
"date", "1754", ""
"date", "August the 22 {17}56", ""
"date", "January the 26th 1755", ""
"persName", "Bealer", ""
"persName", "Brother Sennick", ""
"persName", "Brother Sennick", ""
"persName", "Cennciks", ""
"persName", "Cennick", ""
"persName", "Cennicks", ""
"persName", "Cennicks", ""
"persName", "Colast", ""
"persName", "Horn", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus", ""
"persName", "Jesus Christ", ""
"persName", "Jesus Christ", ""
"persName", "Joannas Nichman", ""
"persName", "Marshall", ""
"persName", "Mr Horn", ""
"persName", "Mr Horn", ""
"persName", "Mr Sennick", ""
"persName", "Mr Steele", ""
"persName", "Mr Wesloy", ""
"persName", "Mr Wesloy", ""
"persName", "Sam.l Tippett", ""
"persName", "Sennick", ""
"persName", "Whitfield", ""
"placeName", "Bristol", ""
"placeName", "Bristoll", ""
"placeName", "Bristoll", ""
"placeName", "Hannam Mount", ""
"placeName", "Kingswood", ""
"placeName", "Kingswood", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "Oland", ""
"placeName", "Parrish of Bitton", ""
"placeName", "Wilshear", ""
