"elementName", "elementContent", "typeAttributeIfPresent"
"date", " April 1716", ""
"date", " August", ""
"date", " August 1746", ""
"date", " December 1750", ""
"date", " Februar 1749", ""
"date", " Januar 1748.", ""
"date", " May", ""
"date", " May 1745.", ""
"date", " Merz", ""
"date", " October", ""
"date", " October 1757", ""
"date", " September 1748", ""
"date", "1", ""
"date", "1", ""
"date", "12", ""
"date", "14", ""
"date", "15", ""
"date", "16", ""
"date", "1741", ""
"date", "1745", ""
"date", "1752", ""
"date", "1765 am 27", ""
"date", "20", ""
"date", "25", ""
"date", "28", ""
"date", "4", ""
"date", "8", ""
"date", "9", ""
"date", "Frühjahr ", ""
"date", "Sontag ", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"orgName", " Aufseher- Collegii", ""
"orgName", "Abendmahlsviertelstunde", ""
"orgName", "Acoluthie", ""
"orgName", "Brüdern ", ""
"orgName", "Chors ", ""
"orgName", "Gemein-Versammlungen", ""
"orgName", "Gemeine", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Heiligen Abendmahls", ""
"orgName", "Heiligen Ehe", ""
"orgName", "Predigt", ""
"orgName", "Predigt ", ""
"orgName", "Rede ", ""
"orgName", "Saal-Diener", ""
"orgName", "Sabbaths Liebesmahl", ""
"orgName", "Segen ", ""
"orgName", "Versammlung", ""
"orgName", "Versammlung ", ""
"orgName", "Versammlungen", ""
"orgName", "Versammlungen", ""
"orgName", "Versammlungen ", ""
"orgName", "Versammlungen der Brüder", ""
"orgName", "Volck Gottes", ""
"orgName", "erweckte", ""
"orgName", "erweckten ", ""
"orgName", "erweckten ", ""
"orgName", "erweckten ", ""
"orgName", "erweckten ", ""
"orgName", "erweckten ", ""
"orgName", "getauft", ""
"orgName", "heiligen Ehe", ""
"orgName", "lutherischer Religion", ""
"persName", " ", ""
"persName", "Anna Felicitas Schusterin", ""
"persName", "Anna Rosina Beyerin", ""
"persName", "Bruder Bossard", ""
"persName", "Bruder Daniel Kliest", ""
"persName", "Bruder Georg Wallis", ""
"persName", "Bruder Peistel", ""
"persName", "Bruder Raillard", ""
"persName", "Bruder Sontag", ""
"persName", "Daniel Keller", ""
"persName", "Daniel und Lorenz Keller", ""
"persName", "Eltern", ""
"persName", "Engel", ""
"persName", "Frau ", ""
"persName", "Friedrich von Watteville", ""
"persName", "Fuß ", ""
"persName", "Geschwister Peistels", ""
"persName", "Geschwister Peistels", ""
"persName", "Geschwistern Johann Nitschmanns", ""
"persName", "Gesellen", ""
"persName", "Gott ", ""
"persName", "Gott ", ""
"persName", "Gott ", ""
"persName", "Gottes", ""
"persName", "Gottes ", ""
"persName", "Heiland", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heilige Geist", ""
"persName", "Herr Jesus", ""
"persName", "Herrn", ""
"persName", "Herrn", ""
"persName", "Herrn Jesu", ""
"persName", "Herrn Jesum", ""
"persName", "Herrn Professor König", ""
"persName", "Indianer ", ""
"persName", "Jesu", ""
"persName", "Jesu", ""
"persName", "Jesu ", ""
"persName", "Jesu ", ""
"persName", "Jesu ", ""
"persName", "Jesus ", ""
"persName", "Jesus ", ""
"persName", "Jesus ", ""
"persName", "Jesus ", ""
"persName", "Jesus ", ""
"persName", "Jesus ", ""
"persName", "Kinder ", ""
"persName", "Kinder ", ""
"persName", "Kindern ", ""
"persName", "Leuten ", ""
"persName", "Mutter", ""
"persName", "Mutter ", ""
"persName", "Mutter ", ""
"persName", "Nicolaus von Watteville", ""
"persName", "Pfarrer Lucius", ""
"persName", "Pfarrer Lucius", ""
"persName", "Pietisten ", ""
"persName", "Raillard ", ""
"persName", "Samuel Lucius", ""
"persName", "Sohn Daniel", ""
