"elementName", "elementContent", "typeAttributeIfPresent"
"date", " August 1758", ""
"date", " May", ""
"date", " May", ""
"date", " May", ""
"date", " Merz", ""
"date", " Merz 1757", ""
"date", "14", ""
"date", "1741", ""
"date", "1751 ", ""
"date", "1754 ", ""
"date", "1778 ", ""
"date", "20sten", ""
"date", "21", ""
"date", "26", ""
"date", "29", ""
"date", "4", ""
"date", "5", ""
"date", "6", ""
"date", "August ", ""
"date", "en", ""
"date", "t", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"orgName", "Absolution ", ""
"orgName", "Aeltesten", ""
"orgName", "Aeltestenfest ", ""
"orgName", "Arbeiterinn ", ""
"orgName", "Brüder-Societaet", ""
"orgName", "Can didatin", ""
"orgName", "Chorfest ", ""
"orgName", "Chorhause", ""
"orgName", "Chors ", ""
"orgName", "Gemeine", ""
"orgName", "Gemeine", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Heiligen Abendmahl ", ""
"orgName", "Kranckenwärterin ", ""
"orgName", "Mädgen-An- stalt ", ""
"orgName", "Quaeker-", ""
"orgName", "Rede ", ""
"orgName", "Societaets-Versammlungen", ""
"orgName", "Versammlungen", ""
"orgName", "confirmirt ", ""
"orgName", "heilige Taufe", ""
"orgName", "heiligen Abendmahl ", ""
"persName", "Anverwandten ", ""
"persName", "Bekanten ", ""
"persName", "Bruder Abraham Reinecke", ""
"persName", "Bruder Josephs", ""
"persName", "Captain Garrison", ""
"persName", "Eltern ", ""
"persName", "Erdmuth Langley", ""
"persName", "Familie ", ""
"persName", "Familie ", ""
"persName", "Freunden ", ""
"persName", "Geistes Gottes", ""
"persName", "Gottes", ""
"persName", "Heiland", ""
"persName", "Heiland", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heilands", ""
"persName", "Heilands ", ""
"persName", "Heilands ", ""
"persName", "Hirten", ""
"persName", "Jesu ", ""
"persName", "Jesu ", ""
"persName", "Kinder ", ""
"persName", "Kindern ", ""
"persName", "Mutter", ""
"persName", "Schwester", ""
"persName", "Schwester ", ""
"persName", "Schwester ", ""
"persName", "Schwester ", ""
"persName", "Schwester Anna Rebecca", ""
"persName", "Schwester Böhlerin", ""
"persName", "Tante", ""
"persName", "Tante ", ""
"persName", "Vater ", ""
"persName", "Vater ", ""
"persName", "Vater ", ""
"persName", "Vater ", ""
"persName", "Vater ", ""
"persName", "Vaters", ""
"persName", "Vaters ", ""
"persName", "heilige Geist ", ""
"placeName", "America", ""
"placeName", "America ", ""
"placeName", "Bethlehem", ""
"placeName", "Bethlehem ", ""
"placeName", "Bethlehem ", ""
"placeName", "Boundbrook", ""
"placeName", "Brunswick", ""
"placeName", "Brunswick ", ""
"placeName", "England", ""
"placeName", "London ", ""
"placeName", "Newyork", ""
"placeName", "Newyork ", ""
"placeName", "Northhampton ", ""
"placeName", "Philadelphia", ""
"placeName", "West- Indien", ""
