"elementName", "elementContent", "typeAttributeIfPresent"
"date", " 60 den 19. Januar", ""
"date", " Mart ", ""
"date", " May", ""
"date", " den 4. April ", ""
"date", "14.ten", ""
"date", "15.", ""
"date", "17.ten", ""
"date", "1742 ", ""
"date", "1755 ", ""
"date", "1759 ", ""
"date", "1761 den 12. Januar", ""
"date", "22ten Februar 56", ""
"date", "4.", ""
"date", "Abendmahlstag ", ""
"date", "Charfreytag", ""
"date", "December ", ""
"date", "Juny ver wichnen Jahrs", ""
"date", "Sabbath", ""
"date", "September ", ""
"date", "im November ", ""
"date", "ten", ""
"date", "ten", ""
"orgName", " seinem Volcke", ""
"orgName", "Abendmahl", ""
"orgName", "Abendmahl", ""
"orgName", "Abendmahl ", ""
"orgName", "Abendmahl ", ""
"orgName", "Candidatin zum Abendmahl", ""
"orgName", "Chorhaus ", ""
"orgName", "Chors ", ""
"orgName", "Confirmirt", ""
"orgName", "Gemeine", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Heimgangs Liturgie", ""
"orgName", "Jungfern Chor", ""
"orgName", "Krancken Stube", ""
"orgName", "Kranckenwärterin", ""
"orgName", "Kranckenwärterin ", ""
"orgName", "das erste mahl mit der Gemeine seines Leichnams und Blutes", ""
"orgName", "geselschaftt ", ""
"orgName", "getauft", ""
"orgName", "ledige Schwestern Haus", ""
"persName", " Erdmuth", ""
"persName", "Bruder Grube", ""
"persName", "Bruder Petrus", ""
"persName", "Bräutigam ", ""
"persName", "D. Theodora", ""
"persName", "Freunden ", ""
"persName", "Freundes ", ""
"persName", "GroßMutter", ""
"persName", "Heiland", ""
"persName", "Heiland", ""
"persName", "Heiland", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heiland ", ""
"persName", "Heilands ", ""
"persName", "Indianer ", ""
"persName", "Indianerin ", ""
"persName", "Jesu ", ""
"persName", "Jesu ", ""
"persName", "Marter Mann", ""
"persName", "Mutter", ""
"persName", "Mutter ", ""
"persName", "Schwester", ""
"persName", "Schwester Anna Roßel", ""
"persName", "Schwester Anna Roßel", ""
"persName", "Schwester Anna Roßel ", ""
"persName", "lieben Mutter", ""
"placeName", "Bethlehem", ""
"placeName", "Bethlehem ", ""
"placeName", "Bethlehem ", ""
"placeName", "Busch ", ""
"placeName", "Delawar", ""
"placeName", "Gnadenhütten", ""
"placeName", "Gnadenhütten ", ""
"placeName", "Gnadenthal", ""
"placeName", "Mini", ""
"placeName", "ink ", ""
"placeName", "s", ""
