"elementName", "elementContent", "typeAttributeIfPresent"
"date", " December", ""
"date", " 3", ""
"date", " December", ""
"date", " Juli", ""
"date", " Mart", ""
"date", " November ", ""
"date", " September gedachten Jahres", ""
"date", "12ten September", ""
"date", "14ten October", ""
"date", "15", ""
"date", "1702 den 12 ten Mart", ""
"date", "1715 ", ""
"date", "1716 ", ""
"date", "1721 im Früh-Jahr", ""
"date", "1725 ", ""
"date", "1728 ", ""
"date", "1729 ", ""
"date", "1732 ", ""
"date", "1733 ", ""
"date", "1737 ", ""
"date", "1739 im Juli", ""
"date", "1739 um Ostern", ""
"date", "1742 den 8", ""
"date", "1743 ", ""
"date", "1744", ""
"date", "1751 ", ""
"date", "1754 ", ""
"date", "1760 ", ""
"date", "1765 ", ""
"date", "1770 ", ""
"date", "1776", ""
"date", "18ten Juni", ""
"date", "20ten November", ""
"date", "23", ""
"date", "23ten October", ""
"date", "29", ""
"date", "29ten deßelben Monats", ""
"date", "3", ""
"date", "30>ten April Merz. 1782.", ""
"date", "3ten Februar", ""
"date", "4", ""
"date", "46 ", ""
"date", "47", ""
"date", "4ten August", ""
"date", "55 ", ""
"date", "56 ", ""
"date", "6ten April 1779", ""
"date", "August 1741", ""
"date", "Februar ", ""
"date", "Frühjahr", ""
"date", "Herbst", ""
"date", "Herbst", ""
"date", "Herbst ", ""
"date", "Januar 1743 ", ""
"date", "Juni ", ""
"date", "Mart ", ""
"date", "Marter-Woche", ""
"date", "May 1736", ""
"date", "May 1746", ""
"date", "November 1740", ""
"date", "November anno 52 ", ""
"date", "Ostern", ""
"date", "Ostern ", ""
"date", "Ostern 1738", ""
"date", "Palm-Sonntag", ""
"date", "Pfingst-Feiertagen", ""
"date", "September 51", ""
"date", "Weihnachten ", ""
"date", "Weihnachten 1780", ""
"date", "Winter ", ""
"date", "ersten Ostertag den 31", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"date", "ten", ""
"orgName", " Gemein-Druckerey ", ""
"orgName", "Begräbniß ", ""
"orgName", "Brüder-Gemeine", ""
"orgName", "Brüder-Gemeine", ""
"orgName", "Brüder-Gemeine ", ""
"orgName", "Ge- meinen", ""
"orgName", "Gemein-Schriften", ""
"orgName", "Gemeine", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Gemeine ", ""
"orgName", "Heiligen Ehe", ""
"orgName", "Kinder-Anstalt", ""
"orgName", "Lutherischen Religion", ""
"orgName", "Mährischen ", ""
"orgName", "Readmission ", ""
"orgName", "Rede ", ""
"orgName", "Reformirter Religion", ""
"orgName", "Saal ", ""
"orgName", "Synodo ", ""
"orgName", "Versammlung ", ""
"orgName", "Vorsteherin des ledigen Schwestern-Chors", ""
"orgName", "heiligen Abendmahl", ""
"orgName", "heiligen Abendmahls", ""
"orgName", "refor mirt", ""
"persName", " ihrem Manne", ""
"persName", "Bruder Johann Heinrich Miller", ""
"persName", "Bruder Johannis", ""
"persName", "Bruder Ludwigs", ""
"persName", "Bruder Münster", ""
"persName", "Bruder Münster", ""
"persName", "Bruder Spangenbergs", ""
"persName", "Bruder Würz", ""
"persName", "Delawar- Indianer", ""
"persName", "El- tern", ""
